1 & A Chóicid chóem Chairpri chrúaid &  1 \\
1 & Aided Guill meic Carbada ⁊ Aided Gairb Glinne Rigi &  2 \\
1 & Ailill Ulom cecinit &  3 \\
1 & Ailill Ólomm A Maccáin ná cí &  3 \\
1 & Audacht Moraind &  6 \\
1 & Ciaran cecinit &  6 \\
1 & Dub Dá Thúath Diambad messe bad rí reil &  3 \\
1 & Dían &  1 \\
1 & Fithal ⁊ Cormac cecinerunt &  3 \\
1 & Fothart for trebaib Con Corbb &  1 \\
1 & Idem Dubthach &  1 \\
1 & Macclerech do muntir Ferna móire &  5 \\
1 & Tecosca Cormaic &  6 \\
2 & A ben bennacht fort na raid &  5 \\
2 & Drochcomaithech ro baí i n-ocus dosom &  5 \\
2 & Mo Lling Luachra dalta do Maehóc Ferna &  5 \\
3 & A Ngluind a n-echta a n-orgni &  4 \\
3 & Bemmend Branduib for Brega &  1 \\
3 & Brislech Mór Maige Muirthemni &  2 \\
3 & CInd cethri ndíni iar Frigrind &  4 \\
3 & Cinti crábuid gnathaigthe scoile Sinchil &  6 \\
3 & Cináed húa Artacáin: Fíanna Bátar i nEmain &  1 \\
3 & Column Cille cecinit &  6 \\
3 & Dublitir hua Uathgaile cecinit &  3 \\
3 & Dubthach hua Lugair &  1 \\
3 & Echta Lagen for Leth Cuind &  1 \\
3 & Fiacail Patric &  6 \\
3 & Fland Fina cecinit &  3 \\
3 & Fland Fína cecinit &  1 \\
3 & Gilla Coemain cecinit Attá sund forba fessa &  3 \\
3 & Gilla Cóemáin Hériu ard inis na rríg &  3 \\
3 & Gilla Mo Dutu cecinit &  3 \\
3 & Gilla in Chomded hua Cormaic cecinit &  3 \\
3 & Gillae Coemain cecinit Analad anall uile &  3 \\
3 & Inis Dornglais ro gab Crimthann &  4 \\
3 & Inn eól dúib in senchas sen &  3 \\
3 & Mael Muru Othna cecinit &  3 \\
3 & Marb Cairpre Músc co n-áne &  1 \\
3 & Mide magen clainne Cuind &  4 \\
3 & Mo Lling cecinit &  3 \\
3 & Mugain ingen Chonchraid chain &  3 \\
3 & Mugdorn ingen Moga Duib Conan gilla Find &  4 \\
3 & Ossin cecinit &  3 \\
3 & RIg Themra dia tesband tnú &  3 \\
3 & Síl Aeda Sláne na sleg &  4 \\
3 & Turim Tigi Temrach &  1 \\
4 & Ailbe Úar in lathe do Lum Luine &  3 \\
4 & Bórama &  5 \\
4 & Cathcharpat serda &  4 \\
4 & Cethri srotha déc éicsi &  1 \\
4 & Cogad Gaedel re Gallaib &  5 \\
4 & Cormac mac Culennain &  1 \\
4 & Epscop Ibar &  6 \\
4 & Incipit Cath Ruis na Ríg &  4 \\
4 & Incipit Mesca Ulad &  5 \\
4 & Medb Lethderg &  1 \\
4 & Na Trí Fothaid &  4 \\
4 & Niall Frossach &  5 \\
4 & Scrín Adomnáin &  6 \\
4 & Tech Midchúarda &  1 \\
4 & Teist Chathail meic Finguine &  3 \\
4 & Temaile fáid Miled Espáin &  4 \\
4 & Tochmarc Ferbae &  5 \\
4 & Túarastla Rosa Failgi &  1 \\
4 & Túathal Techtmar &  1 \\
4 & trí dee donand &  1 \\
4 & táin bó cúalnge &  2 \\
4 & Óenach Talten &  5 \\
5 & A Chormaic coisc do maicni &  3 \\
5 & Aided Cheltchair meic Uthechair &  2 \\
5 & Aided Choncobuir &  2 \\
5 & Aided Cuanach meic Ailchini &  5 \\
5 & Aided Derb Forgaill &  2 \\
