1 & Bemmend Branduib for Brega &  1 \\
1 & Cethri srotha déc éicsi &  1 \\
2 & Brathir Fursu cóir a rad &  6 \\
2 & Broccán Craibdech &  1 \\
2 & Bórama &  5 \\
2 & Cethrur ar fichet nosfail &  6 \\
2 & Clanna Falge Ruis in ríg &  1 \\
2 & Cuan Hua Lothchain &  1 \\
2 & Fiacail Patric &  6 \\
2 & Fochond Loingse Fergusa meic Roig &  5 \\
2 & Macclerech do muntir Ferna móire &  5 \\
2 & Senbriathra Fithail &  6 \\
2 & Tecosca Cormaic &  6 \\
2 & Trea ropo maith in ben &  6 \\
2 & táin bó cúalnge &  2 \\
3 & A Ngluind a n-echta a n-orgni &  4 \\
3 & CInd cethri ndíni iar Frigrind &  4 \\
3 & Cináed húa Artacáin: Fíanna Bátar i nEmain &  1 \\
3 & Echta Lagen for Leth Cuind &  1 \\
3 & Gilla Cóemáin Hériu ard inis na rríg &  3 \\
3 & Marb Cairpre Músc co n-áne &  1 \\
3 & Mide magen clainne Cuind &  4 \\
3 & Mugain ingen Chonchraid chain &  3 \\
3 & RIg Themra dia tesband tnú &  3 \\
3 & Síl Aeda Sláne na sleg &  4 \\
4 & A ben bennacht fort na raid &  5 \\
4 & Caillech dorat a mac dósum do MLing &  5 \\
4 & Drochcomaithech ro baí i n-ocus dosom &  5 \\
5 & A Chormaic coisc do maicni &  3 \\
5 & Cinti crábuid gnathaigthe scoile Sinchil &  6 \\
5 & Cormac mac Cuilennain cecinit &  6 \\
5 & Dub Dá Thúath Diambad messe bad rí reil &  3 \\
5 & Dublitir hua Uathgaile cecinit &  3 \\
5 & Fithal ⁊ Cormac cecinerunt &  3 \\
5 & Fland Fína cecinit &  1 \\
5 & Fothad na Canone cecinit &  3 \\
5 & Fothad na Canone cecinit cu Aed Ordnithe &  3 \\
5 & Gilla Mo Dutu cecinit &  3 \\
5 & Gillae Coemain cecinit Analad anall uile &  3 \\
5 & Mac Cosse fer legind Ruis Ailithir cecinit &  3 \\
5 & Senchán Torpéist A Pair ri sil nEogain Móir &  3 \\
5 & Trí Fothaid Elgga cen chron &  3 \\
6 & Brislech Mór Maige Muirthemni &  2 \\
6 & Cu Chulaind atbert. De aduentu Christi &  2 \\
7 & CIa triallaid nech aisnis &  4 \\
7 & Inis Dornglais ro gab Crimthann &  4 \\
7 & Mael Muru Othna cecinit &  3 \\
8 & A Gillu gairm n ilgrada &  1 \\
8 & Ailbe Úar in lathe do Lum Luine &  3 \\
8 & Audacht Morainn &  5 \\
9 & Aided Guill meic Carbada ⁊ Aided Gairb Glinne Rigi &  2 \\
9 & Cathcharpat serda &  4 \\
9 & Cellach Húa Rúanada &  1 \\
9 & Cormac mac Culennain &  1 \\
9 & Diarmait mac Cerbaill cecinit &  3 \\
9 & Gilla in Chomded hua Cormaic cecinit &  3 \\
9 & Gilla na Naem Hua Duind &  1 \\
9 & Gormlaith ingen Flaind &  1 \\
9 & Idem Dubthach &  1 \\
9 & Incipit Cath Ruis na Ríg &  4 \\
9 & Incipit Mesca Ulad &  5 \\
9 & Inn eól dúib in senchas sen &  3 \\
9 & Medb Lethderg &  1 \\
9 & Teist Chathail meic Finguine &  3 \\
10 & Aided Cheltchair meic Uthechair &  2 \\
10 & Aided Derb Forgaill &  2 \\
10 & Aigidecht Aithirne &  2 \\
10 & Athirne and Amairgen son of Ecet Salach &  2 \\
10 & Baí rí amra de Grécaib Salemón a ainm &  5 \\
10 & Beochobra Con Culaind isind ló fúair bás &  2 \\
10 & Buí siur Mo Lassi Lethglinni oc légund i fail Mo Lasse &  5 \\
10 & Cath Carn Chonaill &  5 \\
10 & Cath Maige Mucrima &  5 \\
10 & Cethrur macclerech &  5 \\
10 & Cinaed hua Artacain cecinit &  3 \\
10 & Cogad Gaedel re Gallaib &  5 \\
10 & Cóica epscop dodeochatar dochum MOedoc Ferna do Bretnaib Cille Muine &  5 \\
10 & De Chophur in da Muccida &  5 \\
10 & De Gabail in tSida in so sic &  5 \\
10 & Dialogue between Brendan and Moínenn &  6 \\
10 & Do fallsigud Tána Bó Cualnge &  5 \\
10 & Dá brón flatha nime &  5 \\
10 & Días macclerech &  5 \\
10 & Echtra Laegaire meic Crimthainn &  5 \\
10 & Epscop do Gaedelaib dochoid do Róim &  5 \\
10 & Fechtas dósom oc ernaigthi ina eclais &  5 \\
10 & Iartaige na hingine colaige do Grécaib &  5 \\
10 & Immacallam in dá Thúarad &  4 \\
10 & Incipit Scel Mucci Meic Da Thó &  2 \\
10 & Incipit de maccaib Conaire &  5 \\
10 & Longes Chonaill Chuirc &  5 \\
10 & Longes mac nUsnig &  5 \\
10 & Luid Mael Ruain Tamlachta fechtas dia airge &  5 \\
10 & Na Trí Fothaid &  4 \\
10 & Niall Frossach &  5 \\
10 & Noenden Ulad ⁊ Emuin Macha &  2 \\
10 & Orgain Dind Ríg &  5 \\
10 & Senchas Ailiúin Chobthaig &  5 \\
10 & Sloiged már rucsat Gréic co Hebríb fechtas n-aile &  5 \\
10 & Temaile fáid Miled Espáin &  4 \\
10 & Tochmarc Ferbae &  5 \\
10 & Triar macclerech &  5 \\
10 & Tréide Cétna Labratar Iarna Genemain &  2 \\
10 & Táin Bó Flidais &  5 \\
10 & Táin Bó Fraích &  5 \\
